a: & eI
research: r/I/s/(@)/r/tS r/i/s/(@)/r/tS
resistance: r/I/z/I/s/t/@/n/s R/E/z/i/s/t/A/N/s
reticulate: r/I/t/I/k/j/@/l/eI/t r/I/t/I/k/j/@/l/I/t
reverberate: r/I/v/(@)/r/b/@/r/eI/t r/I/v/(@)/r/b/@/r/I/t
richard: r/I/tS/@/r/d R/I/S/A/R/d
riches: r/I/tS/I/z R/i/S
riel: r/i/l r/i/E/l
rime: r/aI/m R/i/m
robe: r/oU/b R/O/b
robert: r/A/b/@/r/t R/O/b/E/R
roger: r/A/dZ/@/r R/O/Z/eI
roman: r/oU/m/A/n R/O/m/A/N
rosa: r/oU/z/@ R/O/s/A
rose: r/oU/z r/oU/z/eI
rude: r/u/d R/Y/d
rust: r/@/s/t r/U/s/t

sabine: s/eI/b/aI/n s/@/b/i/n
said: s/E/d s/A/i/d
saint: s/eI/n/t s/&/N s/&/N/t
salute: s/A/l/u/t/E s/@/l/u/t
salve: s/&/l/v s/A/l/v/eI
sans: s/&/N s/&/N/z
santo: s/&/n/t/oU s/A/n/t/O
santos: s/&/n/t/oU/s s/A/n/t/O/s
satiate: s/eI/S/i/eI/t s/eI/S/i/I/t
saturate: s/&/tS/@/r/eI/t s/&/tS/@/r/I/t
savant: s/&/v/@/n/t s/&/v/A/N
scale: s/k/eI/l s/k/A/l/E
scene: s/i/n s/E/n
scribe: s/k/r/aI/b s/k/R/i/b
segment: s/E/g/m/@/n/t s/E/g/m/E/n/t
segregate: s/E/g/r/@/g/eI/t s/E/g/r/@/g/I/t
semi: s/E/m/i s/E/m/aI
separate: s/E/p/@/r/eI/t s/E/p/@/r/I/t
serrate: s/E/r/eI/t s/E/r/I/t
sharon: S/&/r/@/n S/A/R/oU/n
si: s/i S/i
simeon: s/I/m/i/@/n s/I/m/E/O/N
simon: s/aI/m/@/n s/i/m/O/N
simulate: s/I/m/j/@/l/I/t s/I/m/j/@/l/eI/t
sine: s/aI/n s/I/n/eI
sinus: s/aI/n/@/s s/i/n/@/s
souffle: s/u/f/l/eI s/u/f/-/l
sow: s/AU s/oU
st: s/eI/n/t s/&/N s/&/N/t
stare: s/t/E/@/r s/t/A/R/i
striate: s/t/r/aI/eI/t s/t/r/aI/I/t
style: s/t/aI/l s/t/i/l
subject: s/@/b/dZ/E/k/t s/@/b/dZ/I/k/t
sucre: s/Y/k/R s/Y/k/R/eI
sukkoth: s/u/k/O/t s/U/k/@/s
sully: s/@/l/i s/Y/l/i
sung: s/@/N s/U/N
syndicate: s/I/n/d/@/k/eI/t s/I/n/d/@/k/I/t
swathe: s/w/eI/D s/w/A/D
swinger: s/w/I/N/@/r s/w/I/n/dZ/@/r

tabulate: t/&/b/j/@/l/eI/t t/&/b/j/@/l/I/t
tag: t/&/g t/A/g
te: t/eI t/i
tear: t/I/@/r t/E/@/r
terrible: t/E/r/@/b/-/l t/E/R/i/b/l/-
tessellate: t/E/s/@/l/eI/t t/E/s/@/l/I/t
the: D/i D/@
theatre: T/i/@/t/@/r t/eI/A/t/R
tho: t/oU t/U
tire: t/aI/-/r t/i/R/eI
tob: t/oU/b t/O/b
ton: t/@/n t/O/N
tour: t/U/r t/U/R
tout: t/oU/t t/u t/u/t
trier: t/r/aI/@/r t/R/i/@/R

u: j/u u
underestimate: @/n/d/@/r/E/s/t/@/m/eI/t @/n/d/@/r/E/s/t/@/m/I/t
undulate: @/n/dZ/@/l/eI/t @/n/dZ/@/l/I/t
use: j/u/s j/u/z
